Reference,Qty,Value,DNP,Exclude from BOM,Exclude from Board,Footprint,Source,Part No.,Digikey Part No.,,,,Datasheet
AE1,1,MLPF-WB55-01E3,,,,395_eeg_footprint_library:MLPF-WB55-01E3_STM,,,,,,,https://www.st.com/resource/en/datasheet/mlpf-wb55-01e3.pdf
Bias1,1,10,,Excluded from BOM,,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,,,,,,,~
"C1,C2,C3,C8,C11,C12",6,100nF,,,,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,,,,,~
"C4,C9",2,4.7uF,,,,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,,,,,~
"C5,C40",2,10nF,,,,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,,,,,~
"C6,C10",2,1uF,,,,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,,,,,~
"C7,C15",2,10uF,,,,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,,,,,~
C13,1,100pF,,,,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,,,,,~
"C14,C23,C24,C34,C37,C43",6,0.1u,,,,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,,,,,~
C17,1,1n,,,,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,,,,,~
"C18,C19,C20,C21,C22,C26,C27,C28,C29,C30,C35,C42,C45",13,1u,,,,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,,,,,~
"C25,C36,C38,C39",4,10u,,,,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,,,,,~
"C31,C32,C33,C41",4,22uF,,,,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,,,,,~
C44,1,100u,,,,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,,,,,~
D1,1,LED_green,,,,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,,,,,,,~
D2,1,LED_red,,,,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,,,,,,,~
"J2,J3",2,Conn_01x10_Socket,,,,Connector_PinSocket_2.54mm:PinSocket_1x10_P2.54mm_Vertical,,,,,,,~
J4,1,2171750001,,,,395_eeg_footprint_library:2171750001_MOL,,,,,,,https://www.molex.com/en-us/products/part-detail-pdf/2171750001?display=pdf
"JP1,JP2,JP3,JP4,JP5,JP6,JP7,JP8,JP10,JP11,JP12,JP13,JP14,JP15,JP16,JP17",16,0,,Excluded from BOM,,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,,,,,,,~
L1,1,1uH,,,,395_eeg_footprint_library:IND_IHLP-1616AB_VIS,,,,,,,~
L2,1,2.2u,,,,395_eeg_footprint_library:IND_VLS3012HBX-2R2M,,,,,,,~
Q1,1,FS8205,,,,395_eeg_footprint_library:SOT95P280X145-6N,,,,,,,
R1,1,R_Small,,,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,,,,~
"R2,R34",2,1kOhm,,,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,,,,~
R3,1,10kOhm,,,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,,,,~
R4,1,1k,,,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,,,,~
"R5,R25,R26,R27,R28,R32",6,100,,,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,,,,~
"R6,R7",2,5.1kOhm,,,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,,,,~
R9,1,1M,,,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,,,,~
"R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R29",16,3.3k,,,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,,,,~
R30,1,100kOhm,,,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,,,,~
R31,1,402kOhm,,,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,,,,~
R33,1,1MOhm,,,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,,,,~
R35,1,1.2kOhm,,,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,,,,~
SW1,1,SW_Push,,,,Button_Switch_THT:SW_PUSH_6mm,,,,,,,~
U1,1,STM32WB55RGVx,,,,Package_DFN_QFN:QFN-68-1EP_8x8mm_P0.4mm_EP6.4x6.4mm,,,,,,,https://www.st.com/resource/en/datasheet/stm32wb55rg.pdf
U2,1,TP4056-42-ESOP8,,,,Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,,,,,,,https://www.lcsc.com/datasheet/lcsc_datasheet_2410121619_TOPPOWER-Nanjing-Extension-Microelectronics-TP4056-42-ESOP8_C16581.pdf
U3,1,ADS1299-4PAGR,,,,395_eeg_footprint_library:QFP50P1200X1200X120-64N,,,,,,,
